{'bit_size': 28, 'number': 87960623, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 10433, 'pollard_time': 0.0, 'lenstra_factor': {10433, 8431}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 114205349, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 8783, 'pollard_time': 0.0, 'lenstra_factor': {13003, 8783}, 'lenstra_time': 0.0009996891021728516}
{'bit_size': 28, 'number': 119173363, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 11909, 'pollard_time': 0.0, 'lenstra_factor': {11909, 10007}, 'lenstra_time': 0.0010008811950683594}
{'bit_size': 28, 'number': 177833983, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 14843, 'pollard_time': 0.0, 'lenstra_factor': {14843, 11981}, 'lenstra_time': 0.0009987354278564453}
{'bit_size': 28, 'number': 230532241, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 15413, 'pollard_time': 0.0, 'lenstra_factor': {14957, 15413}, 'lenstra_time': 0.0012161731719970703}
{'bit_size': 28, 'number': 125057479, 'novale_factor': None, 'novale_time': 0.0009996891021728516, 'pollard_factor': 10007, 'pollard_time': 0.0, 'lenstra_factor': {12497, 10007}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 203328239, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 15859, 'pollard_time': 0.0, 'lenstra_factor': {15859, 12821}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 132140131, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 10589, 'pollard_time': 0.0, 'lenstra_factor': {10589, 12479}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 117584413, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 12799, 'pollard_time': 0.0, 'lenstra_factor': {9187, 12799}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 230733037, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 14447, 'pollard_time': 0.0, 'lenstra_factor': {15971, 14447}, 'lenstra_time': 0.001001119613647461}
{'bit_size': 28, 'number': 159856133, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 14083, 'pollard_time': 0.0, 'lenstra_factor': {14083, 11351}, 'lenstra_time': 0.0009996891021728516}
{'bit_size': 28, 'number': 200603177, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 15907, 'pollard_time': 0.0, 'lenstra_factor': {12611, 15907}, 'lenstra_time': 0.0015041828155517578}
{'bit_size': 28, 'number': 188071553, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 12941, 'pollard_time': 0.0, 'lenstra_factor': {14533, 12941}, 'lenstra_time': 0.0010068416595458984}
{'bit_size': 28, 'number': 146810879, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 12409, 'pollard_time': 0.0, 'lenstra_factor': {12409, 11831}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 142392431, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 14831, 'pollard_time': 0.0, 'lenstra_factor': {9601, 14831}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 148503787, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 9439, 'pollard_time': 0.0, 'lenstra_factor': {15733, 9439}, 'lenstra_time': 0.0010001659393310547}
{'bit_size': 28, 'number': 135337021, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 8867, 'pollard_time': 0.0, 'lenstra_factor': {8867, 15263}, 'lenstra_time': 0.001001119613647461}
{'bit_size': 28, 'number': 79555769, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 8609, 'pollard_time': 0.0, 'lenstra_factor': {8609, 9241}, 'lenstra_time': 0.0009999275207519531}
{'bit_size': 28, 'number': 263799083, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 16183, 'pollard_time': 0.0, 'lenstra_factor': {16301, 16183}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 104283983, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 10243, 'pollard_time': 0.0, 'lenstra_factor': {10243, 10181}, 'lenstra_time': 0.0}
{'bit_size': 28, 'number': 125105789, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 8573, 'pollard_time': 0.0, 'lenstra_factor': {14593, 8573}, 'lenstra_time': 0.0012183189392089844}
{'bit_size': 28, 'number': 156199649, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 14657, 'pollard_time': 0.0, 'lenstra_factor': {14657, 10657}, 'lenstra_time': 0.0009987354278564453}
{'bit_size': 28, 'number': 106244027, 'novale_factor': None, 'novale_time': 0.0, 'pollard_factor': 12889, 'pollard_time': 0.0, 'lenstra_factor': {12889, 8243}, 'lenstra_time': 0.0010001659393310547}
