{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 2175986603, 'order': 33496983728, 'index_calculus_result': 29129552008, 'index_calculus_time': 5.461976528167725, 'index_calculus_mem_mb': 0.699310302734375}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 15299000216, 'order': 33496983728, 'index_calculus_result': 13263845123, 'index_calculus_time': 5.03917670249939, 'index_calculus_mem_mb': 0.7254676818847656}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 41353596710, 'order': 33496983728, 'index_calculus_result': 2145006780, 'index_calculus_time': 4.993868827819824, 'index_calculus_mem_mb': 0.69024658203125}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 18289186489, 'order': 33496983728, 'index_calculus_result': 781459281, 'index_calculus_time': 4.7994115352630615, 'index_calculus_mem_mb': 0.6891212463378906}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 25367636030, 'order': 33496983728, 'index_calculus_result': 18774663912, 'index_calculus_time': 5.500055551528931, 'index_calculus_mem_mb': 0.7004203796386719}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 40851317997, 'order': 33496983728, 'index_calculus_result': 19820216956, 'index_calculus_time': 4.379247665405273, 'index_calculus_mem_mb': 0.6993598937988281}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 52261339178, 'order': 33496983728, 'index_calculus_result': 32423706867, 'index_calculus_time': 4.444286584854126, 'index_calculus_mem_mb': 0.6695289611816406}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 7222233599, 'order': 33496983728, 'index_calculus_result': 1775303293, 'index_calculus_time': 4.931541442871094, 'index_calculus_mem_mb': 0.6781082153320312}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 17222968625, 'order': 33496983728, 'index_calculus_result': 21359052842, 'index_calculus_time': 5.259644031524658, 'index_calculus_mem_mb': 0.7200202941894531}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 51791374024, 'order': 33496983728, 'index_calculus_result': 14311203847, 'index_calculus_time': 4.345342636108398, 'index_calculus_mem_mb': 0.6668624877929688}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 38479935163, 'order': 33496983728, 'index_calculus_result': 19280451365, 'index_calculus_time': 5.5929388999938965, 'index_calculus_mem_mb': 0.6968307495117188}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 52762425205, 'order': 33496983728, 'index_calculus_result': 5963946655, 'index_calculus_time': 4.579246759414673, 'index_calculus_mem_mb': 0.6807479858398438}
