{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2509633416, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00017309188842773438, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1645217586, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00016069412231445312, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 677997206, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0001773834228515625, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1905717891, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00016260147094726562, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 387659726, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0001780986785888672, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 684285539, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00016999244689941406, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 751526962, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0001785755157470703, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 458555593, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00017070770263671875, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1556805708, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0001513957977294922, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 292147803, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00015997886657714844, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 425745586, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00016069412231445312, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2318617328, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0001742839813232422, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1342235564, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.000240325927734375, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1341402692, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00015354156494140625, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 955867687, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0002849102020263672, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2536109872, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00015926361083984375, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1387417845, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00021982192993164062, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2312703658, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.00018525123596191406, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 1894214684, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.000179290771484375, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2160638751, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0002033710479736328, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 2422833271, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0002334117889404297, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 32, 'p': 2703258601, 'alpha': 11, 'beta': 26732408, 'order': 2703258600, 'baby_result': None, 'baby_time': 0.0001533031463623047, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 30349383276, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.000156402587890625, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 852427156, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.00018715858459472656, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 42062380241, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.00018858909606933594, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 52610020023, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.0001685619354248047, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 57212518718, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.00016641616821289062, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 49214219717, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.0002753734588623047, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 32373334469, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.00016927719116210938, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 20997403006, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.00015306472778320312, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 11769166298, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.0002238750457763672, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 30609897741, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.00017833709716796875, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 18554915360, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.0002281665802001953, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 65891085647, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.00017642974853515625, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 59560979674, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.0002722740173339844, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 53888383836, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.00022649765014648438, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 59628654350, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.0001900196075439453, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 2175986603, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.00018358230590820312, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 15299000216, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.00024771690368652344, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 41353596710, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.00017881393432617188, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 18289186489, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.00015735626220703125, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 25367636030, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.00014853477478027344, 'baby_mem_mb': 0.0013895034790039062}
{'bit_size': 36, 'p': 66993967457, 'alpha': 100, 'beta': 40851317997, 'order': 33496983728, 'baby_result': None, 'baby_time': 0.00016427040100097656, 'baby_mem_mb': 0.0013895034790039062}
