{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1347945949, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.5185136795043945, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1225845620, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.6362957954406738, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1677491187, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.45999741554260254, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1923626201, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.1349990367889404, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1584645065, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.9665102958679199, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2655188682, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.9559967517852783, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1508173960, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.09843683242797852, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1516553962, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.1775970458984375, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2367898019, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.19000625610351562, 'pollard_rho_mem_mb': 0.000614166259765625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1218285964, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.826183795928955, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1034037786, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 2.273646354675293, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 146970801, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.46312570571899414, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2477926049, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.3015260696411133, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1028735461, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.1700856685638428, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2656939438, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.290785551071167, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 961518652, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.8193387985229492, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1897406873, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.14301776885986328, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 318981655, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.890573263168335, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1168307071, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.12755370140075684, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1218285964, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.8134472370147705, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1034037786, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 2.2349932193756104, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 146970801, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.4750359058380127, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2477926049, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.30934643745422363, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1028735461, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.171999216079712, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 2656939438, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 1.2879986763000488, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 961518652, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.7925622463226318, 'pollard_rho_mem_mb': 0.000644683837890625}
{'bit_size': 32, 'p': 2703258601, 'alpha': 87, 'beta': 1897406873, 'order': 1351629300, 'pollard_rho_result': None, 'pollard_rho_time': 0.14099884033203125, 'pollard_rho_mem_mb': 0.000644683837890625}
